ds,y,volume,rsi,ema_9,ema_21,macd,macd_signal
2023-10-31,200.84,118068273,14.970127381354985,212.35863359940697,227.66912862349764,-14.034318914298666,-9.783173826194652
2023-11-01,205.66,121661656,20.243820601722405,211.0189068795256,225.66829874863421,-13.923428493702517,-10.611224759696224
2023-11-02,218.51,125987621,32.747857369590506,212.5171255036205,225.0175443169402,-12.65280575968896,-11.019540959694773
2023-11-03,219.96,119534790,31.77329325890942,214.00570040289642,224.5577675608547,-11.397442583357076,-11.095121284427234
2023-11-06,219.27,117335820,30.854498493327597,215.05856032231716,224.0770614189588,-10.339053284711241,-10.943907684484035
2023-11-07,222.18,116900130,37.74802773129333,216.48284825785376,223.90460128996253,-9.159870178539023,-10.587100183295034
2023-11-08,222.11,106584841,51.63505559189012,217.60827860628302,223.74145571814773,-8.13720683121278,-10.097121512878584
2023-11-09,209.98,142110454,48.457879392358436,216.08262288502644,222.4904142892252,-8.21087848978948,-9.719872908260763
2023-11-10,214.65,131310128,51.84229390681003,215.79609830802116,221.77764935384107,-7.802491572836317,-9.336396641175874
2023-11-13,223.71,140447569,54.83393841602796,217.37887864641692,221.95331759440097,-6.6708779874988124,-8.803292910440462
2023-11-14,237.41,149771642,64.88031439799929,221.38510291713354,223.35847054036452,-4.615387252690226,-7.965711778890415
2023-11-15,242.84,150353975,72.4075416968818,225.67608233370686,225.12951867305867,-2.5192006399178126,-6.876409551095895
2023-11-16,233.59,136816819,64.53289110005527,227.2588658669655,225.89865333914426,-1.5860720898548948,-5.818342058847695
2023-11-17,234.3,142766234,72.74070426003446,228.6670926935724,226.6624121264948,-0.780275395761663,-4.810728726230489
2023-11-20,235.6,116562402,71.98886639676113,230.05367415485796,227.47492011499523,-0.03635746852893362,-3.855854474690178
2023-11-21,241.2,122288000,72.26259082936606,232.28293932388638,228.72265464999566,0.9936221892007211,-2.8859591419119988
2023-11-22,234.21,118117078,60.61384532179557,232.66835145910912,229.22150422726875,1.2316561411062992,-2.0624360853083394
2023-11-24,235.45,65125203,60.501694915254234,233.22468116728732,229.78773111569885,1.5030313895667007,-1.3493425903333316
2023-11-27,236.08,112031763,61.40588953725065,233.79574493382987,230.3597555597262,1.748775172382551,-0.7297190377901551
2023-11-28,246.72,148549913,65.07000736919676,236.3805959470639,231.84705050884202,2.7701553421398444,-0.029744161804155178
2023-11-29,244.14,135401335,63.12403193137136,237.93247675765113,232.96459137167454,3.3330012832073805,0.642804927198152
2023-11-30,240.08,132353196,69.83917743211181,238.36198140612095,233.6114467015223,3.412119883380427,1.1966679184346072
2023-12-01,238.83,121331709,66.68967421314193,238.4555851248968,234.08586063774754,3.3355077338478623,1.6244358815172584
2023-12-04,235.58,104099817,58.90739906948823,237.88046809991746,234.22169148886138,2.9782132265633834,1.8951913505264835
2023-12-05,238.72,137971115,51.16818262885678,238.04837447993398,234.63062862623764,2.914826211151734,2.0991183226515338
2023-12-06,239.37,126436179,46.617274322480014,238.3126995839472,235.06148056930692,2.883798478722099,2.256054353865647
2023-12-07,242.64,107142262,59.98675789009048,239.17815966715776,235.7504368811881,3.0874799022747084,2.422339463547459
2023-12-08,243.84,103126829,60.41484716157206,240.11052773372623,236.48585171017098,3.3076009047472326,2.599391751787414
2023-12-11,239.74,97913888,54.259259259259274,240.036422186981,236.7816833728827,3.115301394949398,2.702573680419811
2023-12-12,237.01,95328313,45.418762300459214,239.43113774958482,236.80243942989335,2.7113595978719047,2.7043308639102297
2023-12-13,239.29,146286348,56.1921014139444,239.40291019966787,237.02858129990304,2.545862638932306,2.672637218914645
2023-12-14,251.05,160829239,65.1338766006985,241.73232815973432,238.30325572718456,3.32530675783795,2.803171126699306
2023-12-15,253.5,135932762,66.32308845577211,244.08586252778747,239.68477793380413,4.0935287113071865,3.061242643620882
2023-12-18,252.08,116416490,56.07159039420028,245.68469002222997,240.8116163034583,4.535485755064485,3.356091265909603
2023-12-19,257.22,106737369,64.0042826552463,247.991752017784,242.30328754859843,5.2400904388621825,3.732891100500119
2023-12-20,247.14,125096987,56.69575113808798,247.8214016142272,242.74298868054402,4.928312451081325,3.9719753706163603
2023-12-21,254.5,109594227,63.3180350161482,249.15712129138177,243.81180789140365,5.21500135010109,4.2205805665133065
2023-12-22,252.54,93370094,64.73757386166142,249.83369703310544,244.60527990127605,5.223831668705145,4.421230786951675
2023-12-26,256.61,86892382,65.29844364631433,251.18895762648435,245.69661809206914,5.495891528936795,4.6361629353486995
2023-12-27,261.44,106494359,67.61372705506781,253.2391661011875,247.12783462915377,6.031711743888252,4.9152726970566105
2023-12-28,253.18,113619943,57.79124778237729,253.22733288095,247.6780314810489,5.723859071911278,5.076989972027544
2023-12-29,248.48,100891578,53.261175147596276,252.27786630476,247.75093771004444,5.042506020397582,5.070093181701552
2024-01-02,248.42,104654163,56.46795827123693,251.50629304380803,247.81176155458584,4.446431623680041,4.94536087009725
2024-01-03,238.45,121082599,50.96852300242131,248.89503443504643,246.96069232235078,3.133422547919281,4.582973205661657
2024-01-04,237.93,102629283,49.06310278313586,246.70202754803717,246.13972029304614,2.0275217330306816,4.071882911135462
2024-01-05,237.49,92488939,38.93241919686582,244.85962203842973,245.3533820845874,1.1028698497643177,3.4780802988612334
2024-01-08,240.45,85166580,39.43661971830985,243.9776976307438,244.90762007689762,0.6019845298289681,2.9028611450547803
2024-01-09,234.96,96705664,36.99878493317133,242.17415810459505,244.00329097899782,-0.23525592914975846,2.2752377302138727
2024-01-10,233.94,91628502,31.140635126377163,240.52732648367606,243.08844634454348,-0.9699000958236752,1.6262101650063632
2024-01-11,227.22,105873612,32.93351610692255,237.8658611869409,241.64586031322133,-2.0704913934078206,0.8868698533235264
2024-01-12,218.89,123043812,19.98988707230741,234.0706889495527,239.57714573929212,-3.5736841035559905,-0.00524093805237702
2024-01-16,219.91,115355046,22.05857167323171,231.23855115964218,237.78922339935647,-4.629305923717055,-0.9300539351853127
2024-01-17,215.55,103164400,15.013633265166973,228.10084092771376,235.7674758175968,-5.751410701065822,-1.8943252883614146
2024-01-18,211.88,108595431,6.919332406119594,224.856672742171,233.59588710690616,-6.85777301151208,-2.887014832991548
2024-01-19,212.19,102260343,8.654428081500896,222.32333819373684,231.64989736991467,-7.621700485377289,-3.8339519634686963
2024-01-22,208.8,117952527,8.889349357646083,219.61867055498948,229.57263397264967,-8.403789526321503,-4.747919476039257
2024-01-23,209.14,106605946,9.538524927894457,217.5229364439916,227.71512179331785,-8.893645162088944,-5.577064613249195
2024-01-24,207.83,123369932,11.609829488465337,215.58434915519328,225.90738344847077,-9.280584532994055,-6.317768597198167
2024-01-25,182.63,198076787,7.171623296158572,208.99347932415463,221.97307586224613,-11.488236922928337,-7.351862262344202
2024-01-26,183.25,107343231,8.10936051899904,203.84478345932374,218.45279623840557,-13.037500340421815,-8.488989877959725
2024-01-29,190.93,125013148,14.353584797005482,201.261826767459,215.95072385309595,-13.490085635148347,-9.48920902939745
2024-01-30,191.59,109982327,16.447470215070396,199.32746141396723,213.73611259372356,-13.638292511242952,-10.31902572576655
2024-01-31,187.29,103221430,15.653070240023553,196.9199691311738,211.3319205397487,-13.942006815747362,-11.043621943762712
2024-02-01,188.86,91843275,19.439133205863627,195.30797530493902,209.2890186724988,-13.895834184624078,-11.614064391934987
2024-02-02,187.91,110612672,22.029613578909377,193.82838024395122,207.34547152045346,-13.77708543733803,-12.046668601015595
2024-02-05,181.06,134294447,18.264989380820126,191.274704195161,204.95588320041225,-14.073483593312318,-12.45203159947494
2024-02-06,185.1,122675954,24.99589423550664,190.03976335612882,203.15080290946565,-13.823043589094908,-12.726233997398936
2024-02-07,187.58,111535217,29.64824120603018,189.54781068490308,201.73527537224152,-13.27146759047335,-12.83528071601382
2024-02-08,189.56,83034043,31.56265276193581,189.55024854792248,200.6284321565832,-12.530130638955342,-12.774250700602126
2024-02-09,193.57,84476347,37.71576060654943,190.354198838338,199.98675650598472,-11.486631538604144,-12.51672686820253
2024-02-12,188.13,95498597,34.341928752422135,189.9093590706704,198.9088695508952,-10.972133593444624,-12.207808213250951
2024-02-13,184.02,86759478,32.96608956932323,188.73148725653633,197.55533595535925,-10.771861601157838,-11.92061889083233
2024-02-14,188.71,81202987,56.15633859862293,188.72718980522905,196.75121450487205,-10.118066033398605,-11.560108319345586
2024-02-15,200.45,120831762,64.21487603305783,191.07175184418324,197.08746773170185,-8.55400322636902,-10.958887300750273
2024-02-16,199.95,111346705,58.45836459114777,192.8474014753466,197.34769793791077,-7.271002414862977,-10.221310323572814
2024-02-20,193.76,104545762,51.84367034834324,193.0299211802773,197.02154357991887,-6.676731096277223,-9.512394478113697
2024-02-21,194.77,103844008,56.73146148308137,193.37793694422186,196.81685779992625,-6.0544760051199376,-8.820810783514945
2024-02-22,197.41,92739461,57.549002295603024,194.1843495553775,196.87077981811476,-5.287359041904182,-8.114120435192792
2024-02-23,191.97,78841917,53.321335078534034,193.74147964430202,196.42525438010432,-5.0600467881949385,-7.503305705793221
2024-02-26,199.4,111747116,64.86223662884927,194.87318371544163,196.69568580009482,-4.231582238557252,-6.848961012346027
2024-02-27,199.73,108645412,62.614243835143995,195.8445469723533,196.97153254554075,-3.5079523807094404,-6.18075928601871
2024-02-28,202.04,99806173,62.50432376340366,197.08363757788266,197.43230231412795,-2.716755741304894,-5.487958577075948
2024-02-29,201.88,85906974,61.0,198.04291006230613,197.83663846738904,-2.0786756877394623,-4.806101999208651
2024-03-01,202.64,82243119,58.59715639810426,198.9623280498449,198.27330769762636,-1.4944400253991432,-4.143769604446749
2024-03-04,188.14,134334869,50.008089305937546,196.79786243987593,197.35209790693304,-2.176370033247622,-3.750289690206924
2024-03-05,180.74,119660758,47.48079877112135,193.58628995190074,195.84190718812096,-3.2761571330349284,-3.6554631787725254
2024-03-06,176.54,107920944,40.58195325800958,190.17703196152058,194.08718835283725,-4.435521303716882,-3.811474803761397
2024-03-07,178.65,102129004,30.174608948708624,187.87162556921646,192.6838075934884,-5.124988716032192,-4.074177586215556
2024-03-08,175.34,85544644,28.707388821595444,185.3653004553732,191.1070978122622,-5.870810891310185,-4.433504247234482
2024-03-11,177.77,85391528,35.20266518600779,183.84624036429855,189.8946343747838,-6.194394522752418,-4.78568230233807
2024-03-12,177.54,87391684,33.82159624413144,182.58499229143885,188.771485795258,-6.395670649691425,-5.107679971808741
2024-03-13,169.48,106524518,26.197375149139262,179.9639938331511,187.01771435932545,-7.123443448293898,-5.510832667105773
2024-03-14,162.5,126325696,25.527321043016116,176.4711950665209,184.78883123575042,-8.169266085964836,-6.042519350877585
2024-03-15,163.57,97146832,16.731662024141116,173.8909560532167,182.85984657795493,-8.810189621621959,-6.59605340502646
2024-03-18,173.8,108214358,29.662745098039238,173.87276484257336,182.0362241617772,-8.395868293471608,-6.95601638271549
2024-03-19,171.32,77271428,25.969962453066344,173.36221187405872,181.06202196525197,-8.173412913371237,-7.19949568884664
2024-03-20,175.66,83846726,30.748898678414108,173.82176949924698,180.57092905931998,-7.559769377242759,-7.271550426525864
2024-03-21,172.82,73178014,28.754630948988336,173.62141559939758,179.86629914483635,-7.21939601557807,-7.261119544336306
2024-03-22,170.83,75580637,34.992196982833406,173.06313247951806,179.04481740439667,-7.029195848854158,-7.2147348052398765
2024-03-25,172.63,74228615,42.212406376032256,172.97650598361446,178.46165218581515,-6.65648408462485,-7.103084661116872
2024-03-26,177.67,113186227,51.067851067851066,173.91520478689156,178.3896838052865,-5.886564792597596,-6.859780687413018
2024-03-27,179.83,81804043,51.114048338368576,175.09816382951325,178.52062164116953,-5.0439606202959055,-6.496616673989596
2024-03-28,175.79,77654838,50.41907245297074,175.23653106361058,178.2723833101541,-4.6485988258111774,-6.127013104353913
2024-04-01,175.22,81562127,47.54003472892146,175.2332248508885,177.99489391832194,-4.331337034396512,-5.767877890362433
2024-04-02,166.63,116650594,40.93703272968933,173.5125798807108,176.96172174392905,-4.718652302839189,-5.558032772857784
2024-04-03,168.38,82950141,48.97921306607276,172.48606390456865,176.1815652217537,-4.828729481216328,-5.4121721145294925
2024-04-04,171.11,123161960,58.674188998589564,172.21085112365495,175.7205138379579,-4.642166250814228,-5.258170941786441
2024-04-05,164.9,143157603,51.214168340332314,170.74868089892396,174.7368307617799,-4.938480913595299,-5.194232936148213
2024-04-08,172.98,104423320,49.22082858228808,171.1949447191392,174.57711887434536,-4.46979888684433,-5.049346126287436
2024-04-09,176.88,103232675,55.144337527757216,172.33195577531137,174.78647170395033,-3.7405488785711327,-4.7875866767441755
2024-04-10,171.76,84532407,46.44290404961692,172.2175646202491,174.5113379126821,-3.5350048677750863,-4.537070314950357
2024-04-11,174.6,94515987,51.62349507479022,172.69405169619927,174.5193981024383,-3.1071284505670747,-4.251081942073701
2024-04-12,171.05,64722669,50.19510464703795,172.36524135695942,174.2039982749439,-3.0196796513235427,-4.00480148392367
2024-04-15,161.48,100245310,41.30943102104443,170.18819308556752,173.04727115903992,-3.680172134522252,-3.9398756140433866
2024-04-16,157.11,96999956,33.805923125393846,167.57255446845403,171.59842832639993,-4.504316705295906,-4.05276383229389
2024-04-17,155.45,82439718,30.64464909495078,165.14804357476322,170.13038938763628,-5.231104426496955,-4.288431951134504
2024-04-18,149.93,96098830,29.941048712379782,162.10443485981057,168.2939903523966,-6.181253160469339,-4.666996193001471
2024-04-19,147.0101,86868117,28.887934273214,159.08556788784844,166.35909122945145,-7.088156548505026,-5.1512282641021825
2024-04-22,142.05,107097564,30.54764165875278,155.67845431027877,164.14917384495584,-8.113594171057144,-5.7437014454931745
2024-04-23,144.68,124545104,31.501717140181086,153.47876344822302,162.37924894995984,-8.61473653435516,-6.317908463265572
2024-04-24,162.13,181178020,44.30058390454429,155.20901075857842,162.35658995450896,-7.517173012331028,-6.557761373078664
2024-04-25,170.18,126427521,53.27462168196477,158.20320860686275,163.0678090495536,-5.929427540519185,-6.432094606566769
2024-04-26,168.29,109815725,46.84938868735725,160.2205668854902,163.5425536814124,-4.7686648199769195,-6.099408649248799
2024-04-29,194.05,243869678,58.91577526222869,166.98645350839217,166.3159578921931,-1.7499628045096074,-5.2295194803009615
2024-04-30,183.28,127031787,55.65038257798706,170.24516280671375,167.85814353835735,-0.22408558094394948,-4.228432700429559
2024-05-01,179.99,92829719,52.63209297782987,172.194130245371,168.96103958032487,0.7115058116610271,-3.2404449980114425
2024-05-02,180.01,89148041,54.53166093465506,173.75730419629681,169.96549052756805,1.4380061242528086,-2.3047547735585923
2024-05-03,181.19,75491539,60.89311373936112,175.24384335703746,170.98590047960732,2.084945045807615,-1.426814809685351
2024-05-06,184.76,84390253,65.41764246682278,177.14707468562997,172.2380913450976,2.8528322915179842,-0.570885389444684
